Timestamp,You are a:,How often do you use transit?,Why do you use transit?,What do you use transit to get to? ,Which route do you use most?,Which route do you use second-most?,Which route do you use third-most?,Where do you live?,Vancouver residents — which neighbourhood?,Where do you usually take the bus to?,How crowded is your most-used route?,How crowded is your second-most-used route?,How crowded is your third-most-used route?,How often is your bus late?,How often does a full bus skip your stop?,When do you usually catch the bus?,How satisfied are you with Vancouver transit?,How do you think your route could be improved?
1/26/2017 14:04:31,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",99,Canada Line,14,City of Vancouver,Kitsilano,UBC,8,6,5,3,2,"8 a.m.-10 a.m., 4 p.m.-6 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 14:04:49,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",Expo Line,99,19,Burnaby,,UBC,10,9,8,8,8,"Before 6 a.m., 6 a.m.-8 a.m., 8 a.m.-10 a.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",2,"More busses, A new Skytrain/LRT line"
1/26/2017 14:04:54,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Recreation/other,Millennium Line,99,25,City of Vancouver,UBC,Maple Ridge,7,10,7,2,5,6 p.m.-8 p.m.,1,"More busses, A new Skytrain/LRT line"
1/26/2017 14:04:59,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",2,99,Expo Line,City of Vancouver,Kitsilano,City of Vancouver (outside UBC),3,8,5,6,4,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 8 p.m.-10 p.m.",2,A new Skytrain/LRT line
1/26/2017 14:06:10,UBC faculty/staff member,Once per month,"Convenience, Don't have kids with me",Work,25,44,99,City of Vancouver,Arbutus,UBC,3,8,10,2,3,6 p.m.-8 p.m.,3,A new Skytrain/LRT line
1/26/2017 14:06:14,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Recreation/other",41,Canada Line,17,City of Vancouver,Riley Park,City of Vancouver (outside UBC),7,7,5,6,8,"Before 6 a.m., 6 a.m.-8 a.m., 8 a.m.-10 a.m., 4 p.m.-6 p.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 14:06:54,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Recreation/other",14,99,Canada Line,City of Vancouver,UBC,City of Vancouver (outside UBC),5,5,6,5,3,"4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 14:07:28,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,44,84,4,Elsewhere in BC,,City of Vancouver (outside UBC),7,6,7,3,1,4 p.m.-6 p.m.,4,A new Skytrain/LRT line
1/26/2017 14:07:31,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",Millennium Line,99,West Coast Express,Coquitlam,,City of Vancouver (outside UBC),2,2,2,5,1,"6 a.m.-8 a.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m.",3,More busses
1/26/2017 14:07:36,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience, I can't drive. ","School, Work, Recreation/other",99,25,16,City of Vancouver,Point Grey,UBC,8,10,1,3,1,"8 a.m.-10 a.m., 10 a.m.-12 p.m., 2 p.m.-4 p.m., 6 p.m.-8 p.m., After 10 p.m.",3,More busses
